3.80E-02	25
7.61E-02	25
0.114130435	25
0.152173913	25
0.190217391	25
0.22826087	25
0.266304348	25
0.304347826	25
0.342391304	25
0.380434783	25
0.418478261	25
0.456521739	25
0.494565217	25
0.532608696	25
0.570652174	25
0.608695652	25
0.64673913	25
0.684782609	25
0.722826087	25
0.760869565	25
0.798913043	25
0.836956522	25
0.875	25
0.913043478	25
0.951086957	25
0.989130435	25
1.027173913	25
1.065217391	25
1.10326087	25
1.141304348	25
1.179347826	25
1.217391304	25
1.255434783	25
1.293478261	25
1.331521739	25
1.369565217	25
1.407608696	25
1.445652174	25
1.483695652	25
1.52173913	25
1.559782609	25
1.597826087	25
1.635869565	25
1.673913043	25
1.711956522	25
1.75	25
1.788043478	25
1.826086957	25
1.864130435	25
1.902173913	25
1.940217391	25
1.97826087	25
2.016304348	25
2.054347826	25
2.092391304	25
2.130434783	25
2.168478261	25
2.206521739	25
2.244565217	25
2.282608696	25
2.320652174	25
2.358695652	25
2.39673913	25
2.434782609	25
2.472826087	25
2.510869565	25
2.548913043	25
2.586956522	25
2.625	25
2.663043478	25
2.701086957	25
2.739130435	25
2.777173913	25
2.815217391	25
2.85326087	25
2.891304348	25
2.929347826	25
2.967391304	25
3.005434783	25
3.043478261	25
3.081521739	25
3.119565217	25
3.157608696	25
3.195652174	25
3.233695652	25
3.27173913	25
3.309782609	25
3.347826087	25
3.385869565	25
3.423913043	25
3.461956522	25
3.480978261	25
3.503804348	25
3.515217391	25
3.518744634	25
3.522753169	25
3.527050955	25
3.531738207	25
3.536876808	25
3.542526402	25
3.548717467	25
3.555497266	25
3.562930604	25
3.571053243	25
3.579927173	25
3.589371342	25
3.599295868	25
3.609673573	25
3.621017306	25
3.632992939	25
3.645671024	25
3.65921876	25
3.673354943	25
3.687440472	25
3.700901468	25
3.713772981	25
3.725298149	25
3.737597399	25
3.750535697	25
3.764459483	25
3.779511125	25
3.795697463	25
3.814093937	25
3.83527136	25
3.857066816	25
3.878982742	25
3.900996071	25
3.923279047	25
3.946077389	25
3.969643238	25
3.994167238	25
4.019757175	25
4.046568485	25
4.074808204	25
4.10458694	25
4.136146018	25
4.169647807	25
4.205366263	25
4.243308755	25
4.283622837	25
